"";"prec1";"prec2";"prec3";"prec4";"prec5";"prec6";"prec7";"prec8";"temp1";"temp2";"temp3";"temp4";"temp5";"temp6";"temp7";"temp8"
"17";0.8754;-2.1646;1.5752;0.6103;-2.1502;0.6427;1.3028;-2.4876;-1.657;0.4618;0.7628;2.4168;-0.039;-2.5483;1.4721;-1.006
"18";1.0112;-2.4149;1.7088;0.7407;-2.3443;0.7175;1.4355;-2.708;-1.6734;0.5346;0.779;2.5054;0.0055;-2.5669;1.5351;-0.9438
"19";1.1073;-2.6102;1.8267;0.8319;-2.4382;0.7602;1.4874;-2.8522;-1.6526;0.6185;0.7819;2.5883;0.0527;-2.5388;1.583;-0.8197
"20";1.3933;-3.1439;2.1164;1.1126;-2.759;0.8985;1.6956;-3.2659;-1.5231;0.7824;0.7518;2.6911;0.1432;-2.3657;1.62;-0.4694
"21";-0.1297;-0.2199;0.4679;-0.346;-0.8955;0.1332;0.5036;-0.8909;-1.7827;-0.1634;0.7269;1.7298;-0.3703;-2.6968;1.0911;-1.9245
"22";0.0982;-0.6091;0.6518;-0.1057;-1.0754;0.2293;0.6272;-1.1398;-1.5943;-0.0078;0.6688;1.7074;-0.2529;-2.4114;1.0769;-1.5576
"23";0.2585;-0.9389;0.854;0.0369;-1.3257;0.3202;0.7846;-1.4442;-1.6108;0.0648;0.6878;1.8642;-0.2381;-2.4608;1.1465;-1.4556
"24";0.3037;-1.0314;0.9103;0.0783;-1.3842;0.3433;0.8199;-1.5218;-1.6435;0.1104;0.7069;1.9313;-0.2083;-2.5006;1.2;-1.4456
"25";0.5696;-1.5313;1.1845;0.3363;-1.7044;0.4763;1.0287;-1.9237;-1.5995;0.2785;0.7113;2.0831;-0.1082;-2.4354;1.2933;-1.2016
"26";0.7411;-1.8764;1.3905;0.4954;-1.9246;0.5639;1.1639;-2.2118;-1.6248;0.4049;0.7391;2.2558;-0.0401;-2.4728;1.4028;-1.0775
"27";0.7984;-1.9722;1.4342;0.5567;-1.9656;0.5873;1.1926;-2.27;-1.5064;0.4138;0.6929;2.196;-0.0413;-2.3194;1.3345;-0.9182
"28";1.0262;-2.4055;1.6755;0.7772;-2.2304;0.699;1.3619;-2.6127;-1.5152;0.5906;0.7189;2.3714;0.0741;-2.3146;1.4658;-0.7406
"29";1.1359;-2.6074;1.7829;0.8843;-2.3683;0.7554;1.4546;-2.7784;-1.5142;0.6613;0.7274;2.4372;0.1207;-2.3061;1.5153;-0.6649
"30";1.3164;-2.9754;2.0061;1.05;-2.6033;0.8479;1.5971;-3.088;-1.4836;0.765;0.7311;2.585;0.1582;-2.2866;1.5762;-0.4771
"31";-0.08;-0.2407;0.425;-0.2614;-0.7683;0.1223;0.4305;-0.7815;-1.4818;-0.1052;0.6082;1.4697;-0.2889;-2.24;0.929;-1.5656
"32";0.098;-0.5738;0.6064;-0.0918;-1.0231;0.2201;0.6024;-1.0751;-1.4943;-0.0132;0.6258;1.5878;-0.2379;-2.2577;1.0045;-1.4702
"33";0.2334;-0.8495;0.7733;0.0343;-1.181;0.2856;0.6953;-1.2952;-1.4344;0.0653;0.6139;1.6761;-0.2108;-2.1945;1.0272;-1.2831
"34";0.3609;-1.0725;0.8831;0.1658;-1.2972;0.3424;0.774;-1.4491;-1.4068;0.1753;0.6152;1.7253;-0.1233;-2.1306;1.0841;-1.1546
"35";0.6075;-1.5532;1.1594;0.3983;-1.6189;0.4702;0.9792;-1.8529;-1.3155;0.2872;0.5959;1.852;-0.0868;-2.0348;1.1132;-0.8777
"36";0.7595;-1.8664;1.3516;0.5353;-1.8357;0.5519;1.1125;-2.1288;-1.3628;0.3914;0.6301;2.0302;-0.038;-2.1089;1.222;-0.7966
"37";0.89;-2.0869;1.454;0.6734;-1.9397;0.6073;1.185;-2.2699;-1.2526;0.478;0.5955;2.0114;0.0284;-1.9417;1.2104;-0.5875
"38";1.1068;-2.5132;1.7016;0.8772;-2.218;0.7185;1.3603;-2.6253;-1.274;0.6301;0.6248;2.2047;0.1137;-1.9709;1.3355;-0.4321
"39";1.3048;-2.9086;1.9357;1.0602;-2.4869;0.8228;1.529;-2.9647;-1.2505;0.7355;0.6315;2.3566;0.1534;-1.9596;1.4019;-0.2524
"40";1.4753;-3.1816;2.0499;1.2458;-2.6109;0.8935;1.6214;-3.128;-1.1187;0.862;0.5914;2.3177;0.2643;-1.7402;1.4005;-3e-04
"41";-0.034;-0.2838;0.416;-0.1965;-0.7303;0.1278;0.4139;-0.7525;-1.3144;-0.071;0.5425;1.3294;-0.2436;-1.9868;0.8403;-1.3626
"42";0.1147;-0.5623;0.5679;-0.054;-0.9315;0.2071;0.5484;-0.9906;-1.2976;0.0044;0.5462;1.4118;-0.2039;-1.967;0.8853;-1.2493
"43";0.3001;-0.8882;0.7296;0.1401;-1.0656;0.2821;0.6351;-1.1934;-1.1509;0.1489;0.504;1.4181;-0.098;-1.7432;0.8909;-0.9379
"44";0.4772;-1.2257;0.9181;0.3086;-1.3014;0.3753;0.7897;-1.4797;-1.129;0.2432;0.5085;1.5263;-0.0508;-1.7198;0.9471;-0.792
"45";0.5379;-1.3901;1.0458;0.3479;-1.4415;0.4172;0.8667;-1.6591;-1.2667;0.2986;0.5738;1.7379;-0.0406;-1.9274;1.081;-0.8606
"46";0.7931;-1.849;1.2818;0.6054;-1.7016;0.5361;1.04;-1.996;-1.1275;0.455;0.5373;1.7894;0.061;-1.7254;1.1028;-0.5288
"47";0.9403;-2.149;1.4637;0.7373;-1.9296;0.6192;1.1844;-2.2717;-1.157;0.5296;0.5611;1.9393;0.085;-1.7839;1.1803;-0.4506
"48";1.1112;-2.4731;1.6434;0.9049;-2.1077;0.6988;1.296;-2.5148;-1.0631;0.6346;0.5376;2.0015;0.1412;-1.6602;1.1974;-0.211
"49";1.3294;-2.9193;1.915;1.1045;-2.3956;0.8114;1.4707;-2.8928;-1.0172;0.7523;0.5378;2.1749;0.1778;-1.629;1.2606;0.0234
"50";1.4337;-3.1016;2.0047;1.207;-2.5496;0.8704;1.5808;-3.0564;-1.0931;0.8309;0.5771;2.2703;0.2437;-1.7089;1.362;-0.0028
"51";-0.0425;-0.2171;0.3415;-0.1823;-0.6234;0.1058;0.3552;-0.6326;-1.1371;-0.079;0.4671;1.1323;-0.2218;-1.72;0.7144;-1.198
"52";0.1372;-0.5287;0.4927;0.0042;-0.7826;0.185;0.4639;-0.8442;-0.9969;0.0318;0.4238;1.1243;-0.1435;-1.5141;0.7015;-0.9224
"53";0.3876;-1.0257;0.7847;0.2391;-1.0951;0.3113;0.6574;-1.253;-0.9804;0.1979;0.4405;1.328;-0.0594;-1.5015;0.8145;-0.6929
"54";0.5084;-1.2902;0.9579;0.3376;-1.3362;0.3901;0.8095;-1.5303;-1.091;0.2515;0.4952;1.5312;-0.0557;-1.6785;0.9309;-0.7241
"55";0.6297;-1.5167;1.0808;0.4559;-1.4803;0.4504;0.9039;-1.7109;-1.0757;0.3321;0.4993;1.6015;-0.0049;-1.6521;0.9788;-0.6178
"56";0.8;-1.8315;1.2493;0.6254;-1.655;0.5295;1.0166;-1.9441;-1.0143;0.4526;0.4898;1.6734;0.0735;-1.558;1.0249;-0.4166
"57";1.0685;-2.3191;1.5038;0.8951;-1.928;0.6542;1.1963;-2.3024;-0.855;0.613;0.4462;1.7267;0.1724;-1.334;1.0378;-0.0495
"58";1.1601;-2.4766;1.5791;0.992;-1.9917;0.6909;1.2388;-2.3979;-0.797;0.6926;0.4317;1.735;0.2358;-1.2362;1.0544;0.0885
"59";1.2849;-2.7345;1.738;1.1042;-2.1707;0.7582;1.3486;-2.6257;-0.7682;0.7453;0.4296;1.8332;0.2408;-1.2231;1.0801;0.2185
"60";1.549;-3.2347;2.015;1.3607;-2.475;0.8873;1.5437;-3.0193;-0.7466;0.9374;0.4455;2.0102;0.3626;-1.1796;1.2035;0.4536
"61";0.108;-0.4402;0.419;-0.0073;-0.6623;0.1542;0.3902;-0.7155;-0.9099;0.0451;0.3873;1.0054;-0.105;-1.3643;0.6482;-0.8459
"62";0.1903;-0.5643;0.4641;0.0852;-0.7139;0.187;0.4319;-0.7822;-0.8014;0.091;0.348;0.9427;-0.0625;-1.2004;0.6082;-0.6857
"63";0.2985;-0.8098;0.6302;0.1727;-0.9101;0.2528;0.5489;-1.0255;-0.8764;0.1493;0.3889;1.1276;-0.0569;-1.3301;0.7053;-0.6682
"64";0.5922;-1.3406;0.9052;0.4701;-1.1902;0.3854;0.7323;-1.4032;-0.7052;0.3438;0.3441;1.1887;0.0713;-1.0793;0.7331;-0.2602
"65";0.7078;-1.576;1.0477;0.5739;-1.3691;0.4507;0.8458;-1.6195;-0.6939;0.3862;0.3474;1.2809;0.0733;-1.0868;0.7617;-0.1668
"66";0.9288;-2.003;1.2905;0.7854;-1.632;0.56;1.0117;-1.9618;-0.7139;0.5589;0.3778;1.4694;0.1822;-1.1016;0.8983;-0.0014
"67";1.1004;-2.3801;1.538;0.9302;-1.9151;0.6592;1.1811;-2.3187;-0.7571;0.64;0.4104;1.6936;0.1853;-1.2041;0.995;0.1016
"68";1.1487;-2.4233;1.5261;0.9961;-1.9056;0.6716;1.1881;-2.3059;-0.6247;0.6659;0.3577;1.5659;0.2272;-0.9971;0.9226;0.2518
"69";1.4118;-2.9319;1.8153;1.2482;-2.2156;0.8011;1.3833;-2.7117;-0.6183;0.8602;0.3806;1.7694;0.3445;-0.98;1.0587;0.4792
"70";1.4959;-3.1282;1.9516;1.3132;-2.3851;0.8556;1.4849;-2.9165;-0.6787;0.8912;0.4122;1.9196;0.3314;-1.0933;1.1272;0.4859
"71";0.0648;-0.2737;0.2639;-0.01;-0.4304;0.099;0.2553;-0.4591;-0.6196;0.0318;0.263;0.6647;-0.0617;-0.9194;0.4401;-0.5871
"72";0.3339;-0.8291;0.6054;0.233;-0.8067;0.2421;0.485;-0.9434;-0.6181;0.1837;0.2864;0.9217;-0.011;-0.9537;0.5582;-0.3578
"73";0.3544;-0.8376;0.5874;0.2627;-0.8143;0.2504;0.5014;-0.9366;-0.6086;0.2028;0.2828;0.8808;0.024;-0.9155;0.5605;-0.3568
"74";0.5636;-1.301;0.894;0.4387;-1.1534;0.3698;0.7017;-1.3711;-0.6339;0.2956;0.3112;1.1424;0.018;-1.0103;0.6579;-0.1975
"75";0.8509;-1.7791;1.1097;0.7459;-1.3708;0.4897;0.8557;-1.6677;-0.4247;0.5114;0.2504;1.1156;0.195;-0.67;0.6684;0.2306
"76";0.9696;-2.0245;1.2608;0.8506;-1.5639;0.5586;0.9779;-1.8991;-0.4701;0.5735;0.2787;1.2556;0.2149;-0.747;0.7465;0.2712
"77";1.0644;-2.2263;1.3892;0.9341;-1.7006;0.6095;1.0591;-2.0778;-0.4969;0.6375;0.2993;1.3758;0.2395;-0.795;0.8131;0.3308
"78";1.322;-2.7056;1.6482;1.1863;-2.0005;0.7365;1.2557;-2.4562;-0.4462;0.8054;0.3005;1.5109;0.3445;-0.7155;0.9009;0.5759
"79";1.3604;-2.7778;1.6878;1.2256;-2.0242;0.751;1.2685;-2.4998;-0.3675;0.8175;0.271;1.4863;0.3437;-0.6171;0.8607;0.6936
"80";1.551;-3.1738;1.9331;1.394;-2.3224;0.8589;1.4544;-2.8655;-0.3668;0.8945;0.2848;1.6645;0.3489;-0.656;0.9254;0.8377
"81";0.0362;-0.2382;0.2581;-0.0459;-0.4309;0.0911;0.2517;-0.4545;-0.5489;-0.0519;0.2271;0.6156;-0.1515;-0.8685;0.3431;-0.5449
"82";0.3073;-0.7162;0.4964;0.2355;-0.6499;0.2057;0.3958;-0.7672;-0.4366;0.1855;0.209;0.6954;0.0325;-0.6644;0.433;-0.1986
"83";0.4368;-0.9791;0.655;0.3516;-0.8541;0.2797;0.5261;-1.0111;-0.4736;0.2525;0.2344;0.8324;0.0562;-0.7289;0.509;-0.1439
"84";0.6644;-1.3872;0.8639;0.5836;-1.0619;0.3807;0.6625;-1.2951;-0.3326;0.4075;0.1966;0.8707;0.1614;-0.5197;0.5275;0.1825
"85";0.7562;-1.577;0.981;0.6642;-1.2148;0.4347;0.7596;-1.4764;-0.3766;0.4563;0.2221;0.9848;0.1779;-0.5906;0.5941;0.2033
"86";0.926;-1.865;1.1154;0.8436;-1.352;0.5071;0.855;-1.662;-0.253;0.5767;0.1858;0.9758;0.2719;-0.3964;0.5966;0.4567
"87";1.0669;-2.1539;1.2919;0.9704;-1.5583;0.5841;0.9833;-1.9199;-0.2796;0.6595;0.2092;1.1246;0.3041;-0.4471;0.6774;0.5429
"88";1.2584;-2.5317;1.5121;1.1504;-1.8006;0.6815;1.1348;-2.2326;-0.2358;0.7679;0.2075;1.2527;0.351;-0.4027;0.7318;0.7427
"89";1.541;-3.0506;1.7873;1.4339;-2.0748;0.8096;1.3112;-2.6063;-0.0971;0.965;0.1764;1.3435;0.4791;-0.1975;0.7827;1.1173
"90";1.6586;-3.3076;1.9552;1.5316;-2.2894;0.882;1.4439;-2.8629;-0.2094;1.0391;0.2336;1.5494;0.5039;-0.3666;0.913;1.0954
"91";0.1176;-0.2844;0.2033;0.0813;-0.3169;0.0927;0.1997;-0.3464;-0.2223;0.0326;0.099;0.3053;-0.0284;-0.3488;0.1775;-0.1609
"92";0.3277;-0.7071;0.4557;0.2763;-0.585;0.1995;0.3639;-0.6983;-0.2495;0.1871;0.1314;0.5147;0.0545;-0.3898;0.309;-0.0039
"93";0.4764;-0.9871;0.6096;0.4201;-0.7679;0.2748;0.4835;-0.926;-0.218;0.2742;0.1305;0.5943;0.1033;-0.3475;0.3525;0.1369
"94";0.6468;-1.3292;0.8135;0.5808;-0.9562;0.3552;0.5944;-1.1921;-0.1808;0.3999;0.133;0.7278;0.1681;-0.3032;0.4217;0.338
"95";0.9082;-1.8063;1.0643;0.841;-1.2414;0.4806;0.7833;-1.5555;-0.0538;0.5508;0.1014;0.799;0.2591;-0.1254;0.449;0.6592
"96";1.0285;-2.0585;1.222;0.9463;-1.4361;0.55;0.9048;-1.7924;-0.1541;0.6416;0.1548;0.9868;0.3058;-0.2654;0.5809;0.6543
"97";1.2365;-2.4425;1.4273;1.1514;-1.6719;0.6514;1.06;-2.0912;-0.0756;0.7648;0.1393;1.0652;0.3791;-0.1553;0.6196;0.8879
"98";1.3493;-2.6745;1.5693;1.2559;-1.8018;0.7055;1.135;-2.2756;-0.0172;0.8282;0.1259;1.1369;0.3978;-0.0941;0.6322;1.0555
"99";1.5716;-3.112;1.8238;1.4627;-2.1099;0.8243;1.3322;-2.6549;-0.05;0.9671;0.1586;1.3375;0.4694;-0.1452;0.7564;1.1903
"100";1.7117;-3.3419;1.9247;1.6155;-2.1926;0.878;1.3907;-2.7817;0.0845;1.0791;0.1164;1.3015;0.5628;0.0681;0.7448;1.441
